Date,Time,CO_GT,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,Nox_GT,PT08_S3_Nox,NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH,Weekend,Weekday,CO_level
2/13/2005,23:00:00,1.5,1131,,5.6,793,228,728,142,1173,1054,11.8,53.4,0.7366,True,False,High
2/15/2005,8:00:00,1.5,1047,,6.7,844,363,784,196,979,987,6.1,39.9,0.3781,False,True,High
2/15/2005,17:00:00,1.5,962,,6.6,841,252,827,158,901,821,11.5,22.1,0.2987,False,True,High
2/16/2005,13:00:00,1.5,997,,6.3,825,226,790,139,948,852,9.6,31.3,0.3763,False,True,High
2/16/2005,14:00:00,1.5,987,,6,810,199,801,137,939,830,8.5,36.3,0.4026,False,True,High
2/16/2005,16:00:00,1.5,1025,,5.6,795,259,783,155,967,881,8.9,37.9,0.4318,False,True,High
2/19/2005,2:00:00,1.5,1008,,4.3,726,228,834,156,913,1083,3.1,56.7,0.4388,True,False,High
2/20/2005,4:00:00,1.5,1067,,4.9,758,177,775,130,993,1009,8.2,46.9,0.5099,True,False,High
2/20/2005,20:00:00,1.5,1076,,4.6,745,221,801,149,1040,841,7.4,59.3,0.6123,True,False,High
2/22/2005,7:00:00,1.5,1124,,6.7,842,313,690,178,1180,981,3.4,84.5,0.6677,False,True,High
2/23/2005,0:00:00,1.5,1011,,4.3,725,189,852,142,1050,773,4.2,78.2,0.6506,False,True,High
2/23/2005,23:00:00,1.5,1016,,4.6,744,231,825,167,1053,1020,4.2,77.9,0.6479,False,True,High
2/24/2005,7:00:00,1.5,1071,,5.5,787,290,755,170,1146,947,3.8,83.8,0.6771,False,True,High
2/25/2005,2:00:00,1.5,1059,,5.2,773,233,767,157,1127,984,5.1,83.5,0.7416,False,True,High
2/26/2005,9:00:00,1.5,933,,4.1,714,227,899,133,927,706,6.7,49.5,0.4892,True,False,High
2/26/2005,10:00:00,1.5,942,,3.7,696,203,920,124,912,682,8.8,45,0.5114,True,False,High
2/27/2005,21:00:00,1.5,895,,3.1,660,238,975,155,826,596,4.6,46.8,0.4001,True,False,High
3/1/2005,8:00:00,1.5,915,,5.2,774,358,911,147,839,629,-0.2,40.2,0.2478,False,True,High
3/3/2005,15:00:00,1.5,1108,,5.4,783,272,758,151,1115,964,6,70.1,0.6577,False,True,High
3/5/2005,3:00:00,1.5,1041,,4.4,732,,789,,1003,1076,4.9,62.6,0.5477,True,False,High
3/5/2005,12:00:00,1.5,968,,5.3,777,188,830,133,929,617,14,28.1,0.4476,True,False,High
3/5/2005,15:00:00,1.5,983,,5.9,806,180,820,132,966,615,13.5,28.3,0.4374,True,False,High
3/6/2005,16:00:00,1.5,933,,4,711,205,912,146,850,554,12,27.7,0.3885,True,False,High
3/6/2005,21:00:00,1.5,982,,4.1,714,203,879,158,905,747,7.5,43.8,0.4551,True,False,High
3/7/2005,8:00:00,1.5,1022,,5.2,771,289,812,165,941,769,5.9,45.4,0.4244,False,True,High
3/7/2005,22:00:00,1.5,974,,5,763,239,861,174,865,1076,4.2,40.9,0.3417,False,True,High
3/8/2005,0:00:00,1.5,988,,4.4,734,205,860,157,868,1081,3,47.7,0.3658,False,True,High
3/8/2005,1:00:00,1.5,1016,,5.3,781,255,799,154,918,1174,2.5,52.1,0.3855,False,True,High
3/11/2005,8:00:00,1.5,1272,,13.8,1111,470,563,141,1279,1416,4.3,58.6,0.4915,False,True,High
3/11/2005,13:00:00,1.5,1258,,12.1,1052,354,551,172,1297,1205,17.8,33.3,0.6741,False,True,High
3/11/2005,18:00:00,1.5,1254,,13.9,1112,376,533,181,1349,1161,16,35.3,0.6356,False,True,High
3/14/2005,12:00:00,1.5,1103,,7,857,230,681,123,1182,946,17.9,38.8,0.7883,False,True,High
3/14/2005,13:00:00,1.5,1116,,7.1,859,215,670,124,1197,864,19.3,35.5,0.7876,False,True,High
3/15/2005,0:00:00,1.5,1095,,5.2,772,233,721,140,1175,1023,12.2,65,0.9193,False,True,High
3/15/2005,23:00:00,1.5,1128,,6.1,818,244,674,149,1156,1303,13.2,51.6,0.7765,False,True,High
3/20/2005,2:00:00,1.5,1086,,4.3,726,202,736,131,1192,848,13.4,64.8,0.988,True,False,High
3/20/2005,10:00:00,1.5,1144,,6.2,821,214,651,123,1262,988,15.4,54,0.9385,True,False,High
3/20/2005,23:00:00,1.5,1091,,5.3,777,209,711,105,1217,891,13.8,63.4,0.9916,True,False,High
3/21/2005,0:00:00,1.5,1107,,5.3,777,183,697,99,1221,945,13.1,66.1,0.9913,False,True,High
3/22/2005,1:00:00,1.5,1069,,5.7,799,181,682,121,1211,1044,12.6,67.9,0.9886,False,True,High
3/25/2005,1:00:00,1.5,1205,,6.3,828,239,622,128,1344,1170,15.3,73.3,1.2655,False,True,High
3/26/2005,2:00:00,1.5,1205,,7.2,867,243,601,108,1361,1294,16.6,70,1.3078,True,False,High
3/27/2005,12:00:00,1.5,1182,,5,761,206,677,97,1338,1019,17.5,67.1,1.3342,True,False,High
3/28/2005,10:00:00,1.5,1111,,5.2,773,216,690,115,1331,915,17.8,61.7,1.2436,False,True,High
3/29/2005,0:00:00,1.5,1078,,5,766,184,692,100,1269,998,14.3,68.5,1.1122,False,True,High
3/30/2005,23:00:00,1.5,1090,,6.6,841,174,661,112,1317,1092,15.3,65.4,1.126,False,True,High
3/31/2005,17:00:00,1.5,1067,,6.5,836,171,713,114,1206,690,21.4,36.4,0.9172,False,True,High
3/31/2005,20:00:00,1.5,976,,4.4,731,156,787,118,1095,622,16.3,47.3,0.8686,False,True,High
4/1/2005,7:00:00,1.5,1044,,6.7,845,280,710,150,1158,909,13.7,45.9,0.7154,False,True,High
4/1/2005,17:00:00,1.5,943,,5.1,770,222,856,147,959,583,19.3,24.7,0.5483,False,True,High
4/2/2005,0:00:00,1.5,965,,5.8,803,280,802,174,951,889,13.1,32,0.4817,True,False,High
4/3/2005,21:00:00,1.5,1102,,6,812,235,693,158,1178,1042,16.4,46.6,0.8642,True,False,High
3/12/2004,2:00:00,1.4,988,40,4.1,718,82,1396,91,1304,692,7.1,61.8,0.6276,False,True,High
3/12/2004,7:00:00,1.4,1091,33,4.4,730,109,1387,104,1361,748,6.4,65.1,0.6316,False,True,High
3/14/2004,8:00:00,1.4,1155,36,4.2,722,101,1225,84,1414,959,11.6,62.7,0.853,True,False,High
3/15/2004,6:00:00,1.4,1157,51,6.4,830,138,1030,80,1584,1083,11.4,70.5,0.9475,False,True,High
3/15/2004,23:00:00,1.4,1142,67,6.9,852,89,1008,101,1547,1164,15.3,61.4,1.058,False,True,High
3/18/2004,1:00:00,1.4,1161,70,8.1,904,92,947,107,1502,1240,14.3,55.4,0.8975,False,True,High
3/21/2004,9:00:00,1.4,1220,,5.4,782,111,996,89,1560,1067,15.3,62.1,1.073,True,False,High
3/26/2004,1:00:00,1.4,1024,79,4.8,753,79,1131,91,1357,793,9.7,61.6,0.7425,False,True,High
3/28/2004,7:00:00,1.4,995,72,3.6,691,91,1219,69,1321,836,7.4,68,0.7043,True,False,High
3/28/2004,13:00:00,1.4,995,103,5.7,796,66,1159,72,1287,587,21.2,23.1,0.5768,True,False,High
3/28/2004,15:00:00,1.4,1002,104,4.8,754,70,1189,65,1260,470,18,27.3,0.5594,True,False,High
3/28/2004,18:00:00,1.4,1012,93,4.7,746,86,1174,86,1301,555,15.6,35,0.617,True,False,High
3/29/2004,12:00:00,1.4,971,91,5.5,786,92,1129,78,1272,546,16.5,29,0.5406,False,True,High
3/29/2004,15:00:00,1.4,962,155,5.2,776,102,1131,81,1247,535,18.2,26.1,0.5387,False,True,High
3/31/2004,22:00:00,1.4,1050,105,5.1,769,60,1078,79,1409,759,12.3,57.8,0.8224,False,True,High
4/7/2004,14:00:00,1.4,997,112,6.1,817,84,1030,79,1426,626,14.4,51.8,0.8433,False,True,High
4/8/2004,0:00:00,1.4,1020,88,4.8,752,95,1074,97,1398,839,9.3,75,0.8799,False,True,High
4/8/2004,22:00:00,1.4,1058,92,6.3,824,95,993,99,1411,971,14.1,46,0.7363,False,True,High
4/10/2004,6:00:00,1.4,1073,134,6,812,112,988,65,1500,950,10.8,70.5,0.9142,True,False,High
4/10/2004,15:00:00,1.4,942,98,6.9,852,89,1055,89,1318,540,21.4,22.7,0.5722,True,False,High
4/11/2004,0:00:00,1.4,1028,84,5.1,770,75,1047,84,1326,913,11.2,56.2,0.7469,True,False,High
4/11/2004,18:00:00,1.4,989,68,4,709,75,1225,80,1233,469,17.9,30.8,0.6258,True,False,High
4/12/2004,16:00:00,1.4,1035,69,3.1,660,96,1222,82,1301,533,9.9,70.5,0.8581,False,True,High
4/25/2004,17:00:00,1.4,918,138,4.7,748,81,1228,76,1219,505,19.6,24.9,0.5625,True,False,High
4/25/2004,21:00:00,1.4,940,95,5.1,769,100,1103,90,1310,731,15.5,37,0.6447,True,False,High
4/26/2004,9:00:00,1.4,941,89,5.3,780,113,1080,84,1343,720,16.3,38.4,0.7052,False,True,High
4/26/2004,10:00:00,1.4,941,76,5.4,782,110,1102,83,1328,668,18.3,32.3,0.676,False,True,High
4/26/2004,15:00:00,1.4,981,107,6,810,86,1060,77,1395,605,20.7,31.6,0.7602,False,True,High
4/27/2004,6:00:00,1.4,1120,111,8.9,935,112,843,76,1593,1126,14.4,53.1,0.8677,False,True,High
4/28/2004,22:00:00,1.4,1146,156,8.6,923,79,845,96,1575,1166,19.6,49.8,1.1221,False,True,High
5/2/2004,9:00:00,1.4,1046,,6.9,851,94,920,77,1595,908,17.7,56.4,1.1342,True,False,High
5/3/2004,14:00:00,1.4,998,,10,977,74,947,69,1496,695,30.3,20.1,0.8539,False,True,High
5/6/2004,0:00:00,1.4,898,,4.6,741,79,1085,76,1468,589,12.5,75.8,1.0938,False,True,High
5/11/2004,6:00:00,1.4,1035,,8.4,917,135,882,64,1606,968,11.3,70.4,0.9443,False,True,High
5/15/2004,7:00:00,1.4,1065,,9.1,942,106,890,68,1576,1067,16,47.4,0.8564,True,False,High
5/15/2004,15:00:00,1.4,965,,8.3,910,79,1056,81,1389,643,28.2,19.4,0.7303,True,False,High
5/15/2004,16:00:00,1.4,985,,8.1,903,90,1059,86,1437,712,27.4,20.5,0.7379,True,False,High
5/16/2004,12:00:00,1.4,1021,,7.7,889,80,1022,82,1405,684,29.5,19.8,0.8013,True,False,High
5/16/2004,16:00:00,1.4,1217,,9.2,947,66,887,85,1566,648,31.2,24.6,1.0987,True,False,High
5/16/2004,22:00:00,1.4,1034,,5.9,805,92,1030,97,1416,750,20.8,36.3,0.8775,True,False,High
5/16/2004,23:00:00,1.4,934,,5.6,795,88,1098,93,1328,673,20.3,28.5,0.6686,True,False,High
5/17/2004,0:00:00,1.4,913,,5.4,785,89,1110,85,1273,692,19.6,26.5,0.5974,False,True,High
5/22/2004,14:00:00,1.4,1154,,8.3,912,78,872,76,1605,825,28.3,27.8,1.0539,True,False,High
5/23/2004,18:00:00,1.4,1070,,6.8,850,94,997,91,1502,778,24.8,29.5,0.9077,True,False,High
5/24/2004,16:00:00,1.4,926,,7.7,885,114,1101,92,1259,662,25.5,14,0.4495,False,True,High
5/31/2004,11:00:00,1.4,1044,,12.6,1069,144,889,123,1683,942,28.9,26,1.0188,False,True,High
5/31/2004,12:00:00,1.4,1018,,13.1,1088,127,909,120,1677,795,30.3,22.8,0.9695,False,True,High
6/1/2004,7:00:00,1.4,1225,,12.5,1067,190,760,94,1922,1102,16.9,80.9,1.5472,False,True,High
6/5/2004,12:00:00,1.4,914,,8,900,86,1010,68,1596,706,30.7,26,1.1287,True,False,High
6/5/2004,13:00:00,1.4,896,,8.4,917,83,1017,72,1577,704,30.3,25.2,1.0652,True,False,High
6/6/2004,21:00:00,1.4,877,,7,858,118,1080,89,1535,724,21.8,39.2,1.0115,True,False,High
6/7/2004,0:00:00,1.4,870,,7,858,102,1061,95,1557,811,19.3,47.9,1.059,False,True,High
6/8/2004,6:00:00,1.4,946,,8.8,931,126,917,69,1745,884,18.2,62.3,1.2903,False,True,High
6/12/2004,16:00:00,1.4,1082,,9,939,76,869,84,1678,818,36.4,21,1.2515,True,False,High
6/14/2004,9:00:00,1.4,929,,6.3,825,115,992,87,1561,692,22.4,43.6,1.1637,False,True,High
6/14/2004,15:00:00,1.4,920,,5.4,783,74,1046,70,1550,588,24.5,38.4,1.1669,False,True,High
6/14/2004,20:00:00,1.4,888,,5.7,799,76,1023,74,1531,637,21.7,46.5,1.1917,False,True,High
6/16/2004,1:00:00,1.4,986,,6.9,853,61,865,81,1645,794,20.9,59.8,1.4659,False,True,High
6/19/2004,8:00:00,1.4,1031,,9.1,945,100,806,86,1697,964,24.6,44.9,1.3661,True,False,High
6/19/2004,21:00:00,1.4,,,,,56,,70,,,,,,True,False,High
6/20/2004,3:00:00,1.4,,,,,,,,,,,,,True,False,High
6/20/2004,17:00:00,1.4,,,,,68,,86,,,,,,True,False,High
6/20/2004,21:00:00,1.4,,,,,74,,85,,,,,,True,False,High
6/21/2004,14:00:00,1.4,875,,8.3,912,85,978,84,1504,601,29.5,19.4,0.7872,False,True,High
6/24/2004,16:00:00,1.4,999,,8,899,62,869,74,1629,637,35.8,22.4,1.2915,False,True,High
6/26/2004,12:00:00,1.4,985,,8.5,919,89,918,90,1540,737,36.3,17.5,1.0411,True,False,High
6/26/2004,13:00:00,1.4,960,,8.2,909,70,910,86,1523,675,37.7,16,1.0231,True,False,High
6/26/2004,21:00:00,1.4,1036,,7,859,73,900,83,1645,860,28.4,39.1,1.4881,True,False,High
6/27/2004,1:00:00,1.4,1038,,9.3,950,71,776,75,1750,1181,25.5,47.6,1.5318,True,False,High
7/3/2004,19:00:00,1.4,947,,8.7,926,81,905,90,1484,659,31.9,20.4,0.9462,True,False,High
7/8/2004,12:00:00,1.4,1070,,10.6,1000,147,801,115,1538,1039,40.3,15.8,1.1604,False,True,High
7/8/2004,14:00:00,1.4,1126,,10.7,1004,98,788,108,1609,926,41.1,15.7,1.2071,False,True,High
7/10/2004,9:00:00,1.4,997,,8.8,933,89,799,93,1612,763,26.7,36.4,1.2596,True,False,High
7/10/2004,22:00:00,1.4,1022,,8,899,100,846,97,1588,820,23.4,43.2,1.229,True,False,High
7/12/2004,6:00:00,1.4,1004,,9.4,955,146,758,84,1671,1043,18.5,57.4,1.2076,False,True,High
7/14/2004,0:00:00,1.4,927,,8.8,930,108,840,89,1522,1026,23.6,33.8,0.9685,False,True,High
7/14/2004,23:00:00,1.4,951,,9,939,96,849,101,1488,868,25.3,30,0.9508,False,True,High
7/17/2004,13:00:00,1.4,1003,,8.2,907,76,862,91,1427,680,39.3,13.9,0.9715,True,False,High
7/17/2004,16:00:00,1.4,1012,,7.2,868,70,884,87,1435,700,41.1,13.1,1.0124,True,False,High
7/23/2004,21:00:00,1.4,1055,,8.6,922,95,784,79,1634,990,30.1,33.9,1.4257,False,True,High
7/24/2004,2:00:00,1.4,1075,,9.9,973,79,695,74,1748,1231,26.4,44.5,1.5119,True,False,High
7/24/2004,19:00:00,1.4,1026,,5.6,791,76,875,88,1549,664,29.9,37.9,1.5745,True,False,High
8/1/2004,19:00:00,1.4,1037,,8,900,75,817,95,1584,619,33.1,32.7,1.62,True,False,High
8/2/2004,13:00:00,1.4,1009,,8.5,921,76,778,99,1635,692,37.1,25.6,1.5868,False,True,High
8/2/2004,15:00:00,1.4,1007,,9.4,956,73,763,105,1654,666,37.9,23.8,1.5392,False,True,High
8/2/2004,16:00:00,1.4,996,,9.5,959,80,779,117,1636,684,38,22.2,1.4483,False,True,High
8/7/2004,0:00:00,1.4,974,,8.5,920,75,718,62,1755,1062,23.8,65,1.8897,True,False,High
8/8/2004,12:00:00,1.4,1032,,4.6,744,87,813,79,1695,778,25.4,68,2.1806,True,False,High
8/9/2004,10:00:00,1.4,1044,,9.8,970,54,715,39,1751,1068,31.8,38.9,1.8005,False,True,High
8/9/2004,13:00:00,1.4,1019,,7.7,889,54,787,65,1630,745,34.2,31.5,1.6675,False,True,High
8/9/2004,16:00:00,1.4,,,,,70,,76,,,,,,False,True,High
8/9/2004,23:00:00,1.4,1088,,9.1,945,58,674,66,1765,1060,27.5,54.4,1.9705,False,True,High
8/11/2004,7:00:00,1.4,1114,,9.5,958,89,663,42,1836,1167,26.8,60.5,2.1008,False,True,High
8/11/2004,16:00:00,1.4,1048,,6.6,839,80,845,65,1607,700,38.7,25.8,1.7426,False,True,High
8/11/2004,18:00:00,1.4,1056,,7.6,883,64,799,63,1672,684,36.2,31.1,1.8371,False,True,High
8/11/2004,20:00:00,1.4,1057,,7.8,890,72,778,57,1701,801,31.4,40.7,1.8377,False,True,High
8/11/2004,22:00:00,1.4,1050,,7.7,887,59,770,54,1696,820,29.4,50,2.0181,False,True,High
8/13/2004,0:00:00,1.4,1033,,7,856,60,774,62,1736,769,27.4,59.4,2.1395,False,True,High
8/13/2004,9:00:00,1.4,1031,,8.7,929,79,759,77,1722,809,30.5,44.4,1.9076,False,True,High
8/13/2004,23:00:00,1.4,994,,5.9,806,72,830,90,1580,674,25.9,52.9,1.7478,False,True,High
8/14/2004,20:00:00,1.4,1005,,7.3,868,71,779,85,1633,771,29.8,41.8,1.7269,True,False,High
8/16/2004,11:00:00,1.4,892,,7.4,874,119,923,106,1369,749,35.3,17,0.9546,False,True,High
8/16/2004,12:00:00,1.4,892,,7.3,869,71,953,77,1363,632,37.4,14.7,0.9295,False,True,High
8/16/2004,21:00:00,1.4,972,,8,898,79,807,88,1508,879,29.5,32.1,1.3005,False,True,High
8/18/2004,16:00:00,1.4,1023,,7.4,875,83,785,71,1590,711,36.4,27.1,1.6226,False,True,High
8/18/2004,21:00:00,1.4,1025,,7.9,896,70,738,55,1693,823,29.9,44.7,1.8511,False,True,High
8/18/2004,22:00:00,1.4,1029,,6.1,816,75,804,54,1624,778,29.1,48.4,1.9186,False,True,High
8/18/2004,23:00:00,1.4,1055,,6.4,831,72,769,53,1686,827,28,52.9,1.964,False,True,High
8/19/2004,7:00:00,1.4,1083,,7.8,889,72,725,56,1734,918,27.6,52.1,1.8936,False,True,High
8/23/2004,21:00:00,1.4,928,,6.5,837,62,808,80,1410,871,27,30.7,1.079,False,True,High
8/24/2004,19:00:00,1.4,1072,,6.8,850,70,737,65,1604,702,29.8,43.4,1.7988,False,True,High
8/25/2004,19:00:00,1.4,987,,6.3,824,49,793,53,1541,581,29.1,42.1,1.6695,False,True,High
8/25/2004,20:00:00,1.4,923,,6,811,59,804,69,1434,604,27.8,35.6,1.3116,False,True,High
8/25/2004,22:00:00,1.4,939,,6.8,849,72,804,83,1479,650,26.3,37.3,1.2555,False,True,High
8/26/2004,11:00:00,1.4,,,,,83,,71,,,,,,False,True,High
8/26/2004,15:00:00,1.4,,,,,89,,76,,,,,,False,True,High
8/27/2004,14:00:00,1.4,,,,,82,,88,,,,,,False,True,High
8/31/2004,16:00:00,1.4,1040,,7.6,882,132,756,71,1560,635,34.5,28.6,1.5393,False,True,High
9/4/2004,14:00:00,1.4,1013,,7.9,897,,798,,1351,594,37.3,20.3,1.2771,True,False,High
9/6/2004,11:00:00,1.4,977,,6.6,840,,827,,1390,736,29.2,29.1,1.1586,False,True,High
9/6/2004,13:00:00,1.4,964,,6,814,,850,,1369,689,29.4,28.3,1.1434,False,True,High
9/7/2004,14:00:00,1.4,948,,7.9,893,,828,,1374,768,31.5,21.5,0.9768,False,True,High
9/7/2004,15:00:00,1.4,919,,7.1,862,,851,,1293,697,31.6,20.8,0.9562,False,True,High
9/9/2004,0:00:00,1.4,999,,7.5,879,180,1114,119,1261,960,24.9,28.3,0.8775,False,True,High
9/10/2004,21:00:00,1.4,1017,,8.2,908,194,932,119,1354,880,27.1,31,1.0991,False,True,High
9/16/2004,6:00:00,1.4,1066,,10.1,982,239,740,53,1699,1065,19.7,74.4,1.6829,False,True,High
9/17/2004,9:00:00,1.4,926,,6.7,845,239,979,81,1398,851,20.2,53.1,1.2442,False,True,High
